Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,42.600,170.693,103.028,121.270,135.973,226.974,254.491,265.983,280.485,283.938,0.006
5,46.000,170.945,104.968,122.146,150.876,223.504,254.785,266.858,279.088,286.421,0.006
10,44.200,175.576,108.548,123.726,149.450,232.332,258.577,273.157,286.863,289.292,0.006
15,45.000,174.367,107.323,124.398,142.567,225.038,262.506,277.926,284.850,288.834,0.006
20,45.400,174.530,107.952,123.965,156.408,223.831,256.539,271.287,288.930,293.847,0.006
25,46.400,175.379,3.061,124.199,150.380,234.247,263.077,277.748,285.049,293.456,0.006
30,45.600,178.866,103.110,125.378,157.288,238.035,272.319,284.858,291.143,292.666,0.006
35,45.600,178.560,107.291,126.503,150.754,232.162,273.515,284.570,293.622,295.078,0.006
40,45.000,180.712,105.391,126.723,153.139,239.308,271.592,283.158,292.730,299.730,0.006
45,45.800,177.283,107.310,124.689,153.975,233.182,261.033,279.446,290.349,294.185,0.006
50,45.200,179.259,109.813,127.463,158.202,229.882,267.355,282.698,295.838,298.960,0.006
55,45.400,176.195,0.697,124.124,146.569,236.279,263.778,279.704,290.544,295.493,0.006
60,9.400,127.581,0.427,4.404,127.628,190.294,274.313,281.200,296.268,296.268,0.008
