Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,437,437.000,446,1734,3483,23440,44620,55725,81653,170448,336358
1,444,444.000,439,1755,2999,22599,44277,56879,79639,178288,263456
2,429,429.000,441,1957,3255,23227,43519,52659,78646,168989,301022
3,449,449.000,431,1701,2954,23464,44008,56198,122690,209123,305563
4,417,417.000,429,1586,2945,23337,44056,56615,84568,164736,274121
5,405,405.000,407,1772,2891,23623,43652,56580,79330,146343,298139
6,417,417.000,409,1709,2705,23955,44188,57462,81213,185394,324792
7,517,517.000,448,1625,2647,19730,43684,50907,72217,162231,193072
8,431,431.000,382,1662,2775,23039,44056,58993,78531,162780,343209
9,445,445.000,448,1582,2791,23192,43769,62659,124121,168577,307590
10,444,444.000,379,1546,2626,21712,43863,59942,79228,149152,223546
11,431,431.000,436,1563,2756,23077,44241,62371,83222,159448,258162
12,433,433.000,417,1551,2516,23107,43741,63721,121305,147777,282907
13,478,478.000,405,1574,2550,21333,43517,63669,80130,150587,179033
14,442,442.000,388,1421,2557,22190,43646,54416,79630,162870,256094
15,468,468.000,407,1570,2834,21534,43574,53542,80399,165547,283197
16,457,457.000,401,1567,2684,21683,43546,56438,80921,149320,254456
17,481,481.000,386,1548,2505,20423,43426,47603,77877,150327,197479
18,508,508.000,347,1391,2573,19814,43761,50351,70431,125483,159623
19,461,461.000,384,1431,2634,21575,43878,55318,78717,142148,213087
20,452,452.000,381,1591,2824,22428,43814,54070,80216,157233,237327
21,474,474.000,344,1522,2551,21194,43807,54688,78443,157508,222119
22,486,486.000,345,1341,2320,20675,43706,51693,78862,154591,192541
23,409,409.000,330,1395,2455,24799,44114,67914,123317,151594,289001
24,432,432.000,387,1502,2678,22647,43651,61595,80178,160412,238268
25,544,544.000,357,1340,2250,18686,42921,54208,79016,143876,245996
26,470,470.000,370,1419,2552,21202,43710,57960,80461,143771,196032
27,459,459.000,387,1572,2576,21493,43569,55196,79336,164532,200391
28,448,448.000,320,1472,2578,22040,43657,61857,79782,168171,204664
29,404,404.000,348,1649,2823,25216,43750,71009,130800,161357,274361
30,488,488.000,357,1433,2551,20062,43596,56430,77782,155860,308694
31,445,445.000,364,1651,2582,23255,43905,54498,79060,221812,389437
32,453,453.000,387,1325,2433,21576,43960,59738,79463,170940,216459
33,449,449.000,403,1309,2417,22257,43507,51288,77823,163867,348614
34,556,556.000,382,1333,2093,17734,43216,46109,73068,125760,197775
35,485,485.000,385,1489,2286,20848,43516,62638,78796,157309,200884
36,392,392.000,385,1405,2737,25639,44080,71411,124556,169653,268158
37,438,438.000,378,1428,2464,22799,43444,55829,85777,160465,229956
38,481,481.000,394,1469,2495,20787,43489,51419,77883,138590,176772
39,521,521.000,365,1352,2313,19662,42940,52008,76030,157732,300809
40,448,448.000,380,1524,2425,21517,43432,50649,78522,138916,234422
41,441,441.000,397,1376,2399,22818,43857,56542,79302,198943,387358
42,477,477.000,322,1321,2315,20864,43296,53243,80066,156904,181917
43,512,512.000,360,1311,2165,19506,43336,53165,77545,130297,165827
44,453,453.000,364,1380,2521,21881,43811,56240,79650,165388,295061
45,404,404.000,349,1420,2351,24636,43452,63403,121413,160684,192733
46,470,470.000,394,1552,2469,21270,43522,62695,79044,138142,179112
47,488,488.000,392,1347,2552,20972,43875,49698,78704,149529,194281
48,441,441.000,336,1300,2548,22404,43292,61284,120882,181175,334057
49,485,485.000,339,1444,2461,21232,43341,53503,78674,200789,323714
50,390,390.000,413,1538,2623,24670,43566,66222,123768,191534,401452
51,469,469.000,355,1511,2466,21281,43077,54321,71227,180337,299316
52,469,469.000,356,1429,2396,21805,43453,52132,79016,167723,225370
53,527,527.000,360,1391,2265,19029,43302,49221,71273,147954,185370
54,490,490.000,392,1484,2470,20495,43290,55595,76302,153848,178626
55,420,420.000,360,1575,2584,23391,43653,61697,123482,160294,201693
56,437,437.000,346,1400,2557,23211,43721,65140,85795,161314,260534
57,409,409.000,368,1476,2598,24109,43920,63680,97235,139492,183262
58,415,415.000,339,1500,2870,24171,43866,63039,122154,140091,360807
59,458,458.000,373,1437,2307,21717,43583,61718,80834,137102,234018
60,438,438.000,363,1328,2390,21206,43503,51699,78616,160505,202024
